10
5
0 0 4,9229186773E-001
0 1 2,3329907656E-001
0 2 8,9311408997E-001
0 3 7,2147995234E-001
0 4 3,4943472594E-002
1 0 3,2887976617E-002
1 1 7,2661870718E-001
1 2 9,6300101280E-001
1 3 9,6608430147E-002
1 4 2,1068859100E-001
2 0 7,1839672327E-001
2 1 8,9311408997E-001
2 2 9,4141829014E-001
2 3 9,6608430147E-001
2 4 6,8345326185E-001
3 0 1,2538540363E-001
3 1 3,0215826631E-001
3 2 4,2548817396E-001
3 3 6,9373071194E-001
3 4 1,5621788800E-001
4 0 3,5251799226E-001
4 1 8,6536484957E-001
4 2 8,9722508192E-001
4 3 5,0976359844E-001
4 4 6,3823229074E-001
5 0 6,6495376825E-001
5 1 5,6526206434E-002
5 2 8,9928054810E-001
5 3 8,0986636877E-001
5 4 4,9331963062E-002
6 0 3,8129496574E-001
6 1 1,2949639559E-001
6 2 9,7841727734E-001
6 3 8,2733815908E-001
6 4 7,1942447685E-003
7 0 3,8540595770E-001
7 1 6,0020554066E-001
7 2 1,5005138516E-001
7 3 5,6834530830E-001
7 4 5,4367935658E-001
8 0 2,1891058981E-001
8 1 9,3422406912E-001
8 2 2,6413154602E-001
8 3 1,5724563599E-001
8 4 5,1695787907E-001
9 0 2,5899279118E-001
9 1 4,1829392314E-001
9 2 7,3484069109E-001
9 3 9,0750259161E-001
9 4 3,4224048257E-001
